[95423.9, 'A', 3714.4696, 12646.4634, 26.5650512291882]
[95424.0, 'A', 3714.4699, 12646.4635, 18.434948692646486]
[95424.1, 'A', 3714.4703, 12646.4637, 26.5650512291882]
[95424.2, 'A', 3714.4705, 12646.4638, 26.56505102074737]
[95424.2, 'A', 3714.4705, 12646.4638, 26.56505102074737]
[95424.4, 'A', 3714.4713, 12646.4641, 14.036243360640754]
[95424.5, 'A', 3714.4716, 12646.4642, 18.434949031362834]
[95424.6, 'A', 3714.4719, 12646.4644, 33.690067566064556]
[95424.7, 'A', 3714.4723, 12646.4646, 26.56505102074737]
[95424.8, 'A', 3714.4726, 12646.4647, 18.43494900530773]
[95424.9, 'A', 3714.4729, 12646.4648, 18.434948692646486]
[95425.0, 'A', 3714.4733, 12646.465, 26.5650512291882]
[95425.1, 'A', 3714.4737, 12646.4651, 14.036243375967288]
[95425.2, 'A', 3714.474, 12646.4653, 33.690067566064556]
[95425.3, 'A', 3714.4743, 12646.4654, 18.43494871870159]
[95425.4, 'A', 3714.4747, 12646.4656, 26.565051203133095]
[95425.5, 'A', 3714.475, 12646.4657, 18.434949031362834]
[95425.6, 'A', 3714.4754, 12646.4658, 14.036243375967288]
[95425.7, 'A', 3714.4758, 12646.466, 26.565051203133095]
[95425.8, 'A', 3714.4761, 12646.4661, 18.43494871870159]
[95425.9, 'A', 3714.4764, 12646.4662, 18.43494900530773]
[95426.0, 'A', 3714.4768, 12646.4663, 14.036243375967288]
[95426.1, 'A', 3714.4772, 12646.4664, 14.036243375967288]
[95426.2, 'A', 3714.4776, 12646.4665, 14.036243605865252]
[95426.3, 'A', 3714.4779, 12646.4666, 18.43494871870159]
[95426.4, 'A', 3714.4782, 12646.4667, 18.43494900530773]
[95426.5, 'A', 3714.4787, 12646.4668, 11.309932393850659]
[95426.6, 'A', 3714.479, 12646.4669, 18.43494871870159]
[95426.7, 'A', 3714.4793, 12646.4671, 33.690067566064556]
[95426.8, 'A', 3714.4798, 12646.4672, 11.309932393850659]
[95426.9, 'A', 3714.4801, 12646.4673, 18.43494900530773]
[95427.0, 'A', 3714.4804, 12646.4674, 18.43494871870159]
[95427.1, 'A', 3714.4809, 12646.4675, 11.309932594274542]
[95427.2, 'A', 3714.4812, 12646.4676, 18.434948692646486]
[95427.3, 'A', 3714.4815, 12646.4677, 18.43494871870159]
[95427.4, 'A', 3714.482, 12646.4677, 18.43494871870159]
[95427.5, 'A', 3714.4823, 12646.4678, 18.43494900530773]
[95427.6, 'A', 3714.4827, 12646.4679, 14.036243375967288]
[95427.7, 'A', 3714.4831, 12646.468, 14.036243621191787]
[95427.8, 'A', 3714.4835, 12646.468, 14.036243621191787]
[95427.9, 'A', 3714.4838, 12646.4681, 18.434948692646486]
[95428.0, 'A', 3714.4842, 12646.4682, 14.036243375967288]
[95428.1, 'A', 3714.4846, 12646.4682, 14.036243375967288]
[95428.2, 'A', 3714.4849, 12646.4683, 18.43494900530773]
[95428.3, 'A', 3714.4854, 12646.4683, 18.43494900530773]
